title,authors,publisher,published_date,page_count,description,genres,thumbnail_url,isbn_13,language,rating
Повелитель мух,Голдинг Уильям,АСТ,1954,320,"Странная, страшная и бесконечно притягательная книга. История благовоспитанных мальчиков, внезапно оказавшихся на необитаемом острове. Философская притча о том, что может произойти с людьми, забывшими о любви и милосердии. Гротескная антиутопия, роман‑предупреждение и, конечно, напоминание о хрупкости мира, в котором живем мы все.",Фантастика,/books/media/covers/povelitel_muh.jpg,9785171035976,ru,5.0
Мастер и Маргарита,Михаил Булгаков,АСТ,1967,544,"Культовый роман Михаила Булгакова. В Москву прибывает сам дьявол. Дальше воцаряются хаос и настоящая чертовщина и любому, кто попадется на пути Воланда и его свиты, не поздоровится. Но истинная причина его приезда кроется в некоем мастере и его возлюбленной. Уникальный роман о свете и тьме, любви и самопожертвовании, действие которого разворачивается в разгар жаркой московской весны.",Фантастика,/books/media/covers/masterimargarita.jpg,9785171561727,ru,4.8
Театр теней,Кир Булычев,Азбука,2025,1024,"Действие романов трилогии «Театр теней» происходит в «теневом» мире — мире, параллельном тому, в котором живем мы с вами, мире, где отсутствует смерть, здесь время стоит на месте. Главный герой трилогии с говорящей фамилией Гагарин, инопланетянин-подкидыш, найденный 12 апреля (отсюда и такая фамилия), вместе с другими учеными из Института экспертизы исследуют этот странный мир, полный опасных тайн и населенный отнюдь не ангелами.",Фантастика,/books/media/covers/teatrtenei.jpg,9785389276314,ru,4.7
Гарри Поттер и философский камень,Джоан Кэтлин Роулинг,Махаон,2025,432,"Книга, покорившая мир, эталон литературы для читателей всех возрастов, синоним успеха. Книга, сделавшая Джоан Роулинг самым читаемым писателем современности. Книга, ставшая культовой уже для нескольких поколений. «Гарри Поттер и Философский камень» - история начинается.",Фантастика,/books/media/covers/garripotter1.jpg,9785389074354,ru,4.3
Дюна,Герберт Фрэнк,АСТ,2024,704,"Роман «Дюна», первая книга прославленной саги, знакомит читателя с Арракисом — миром суровых пустынь, исполинских песчаных червей, отважных фрименов и таинственной специи. Безграничная фантазия автора создала яркую, почти осязаемую вселенную, в которой есть враждующие Великие Дома, могущественная Космическая Гильдия, загадочный Орден Бинэ Гессерит и неуловимые ассасины.",Фантастика,/books/media/covers/dune1.jpg,9785171189334,ru,5.0
Наруто. Кн 1,Масаси Кисимото,Азбука,2024,600,"Наруто Удзумаки – самый проблемный ученик академии ниндзя в деревне Коноха. День за днем он выдумывает всяческие проказы и выводит из себя окружающих! Однако даже у этого хулигана есть заветная мечта. Он собирается превзойти героев прошлого, стать величайшим ниндзя и обрести всеобщее признание! Но люди сторонятся юного Удзумаки, а кто-то даже смотрит на него с отвращением… Наруто и не подозревает, что его жизнь связана с трагедией, постигшей Коноху двенадцать лет назад…",Манга,/books/media/covers/naruto1.jpg,9785389189324,ru,4.6
One Piece. Большой куш. Кн.1,Эйитиро Ода,Азбука,2025,608,"Голд Роджер – король пиратов, добившийся за свою жизнь богатства, славы и власти, спрятал где-то на просторах этого мира загадочное сокровище, которое все называют «One Piece». После смерти Роджера множество смельчаков кинулись на поиски этого большого куша. И наступила великая эпоха пиратов! Вот и паренек по имени Луффи, живущий в маленькой прибрежной деревушке, мечтает стать пиратом. Еще в детстве он ненароком съел плод резина-резина и приобрел невероятные способности. Повзрослев, он покидает родные места в погоне за величайшим сокровищем!",Манга,/books/media/covers/onepiece1.jpg,9785389163188,ru,4.7
Death Note. Книга 1,Цугуми Ооба,Азбука,2025,384,"У студента колледжа Лайта Ягами есть блестящие перспективы на будущее и ни малейшей идеи, чем заполнить настоящее. Парень сходит с ума от скуки. Но все меняется, когда он находит записную книжку синигами – бога смерти. Любой человек, чье имя окажется на ее странице, умрет. Лайт решает использовать Тетрадь смерти, чтобы избавить мир от зла. Куда приведут эти благие намерения?",Манга,/books/media/covers/deathnote1.jpg,9785389137240,ru,4.7
Стальной Алхимик. Кн.1,Хирому Аракава,Азбука,2024,272,"Легендарная серия манги показывает нам альтернативный 20-й век, в котором магия и алхимия идут в ногу с технологическим процессом. В центре сюжета два брата, Эдвард и Альфонс, попытка которых спасти умершую мать с помощью алхимии приводит к ужасным последствиям. У Эдварда не остается иного выбора, как вступить в армию, чтобы попытаться найти способ восстановить искалеченное тело своего брата и свое собственное.",Манга,/books/media/covers/stal_alhim1.jpg,9785389159396,ru,4.2
Берсерк. Том 1,Кэнтаро Миура,XL-Media,2020,458,"Одинокий воин, облаченный во все черное и с огромным, в человеческий рост, мечом за спиной, странствует по свету, верша свою месть силам зла. Там, где проходит его путь, неизменно остаются горы трупов, а кровь льется рекой. Народная молва нарекла этого воина Черным Мечником, но прежде его звали Гатсом, и он был обычным наемником, пока одно событие не изменило его жизнь навсегда.",Манга,/books/media/covers/berserk1.jpg,9785919962908,ru,4.5
